day,symbol,tf,side,status,exit_reason,created_at,closed_at,entry,exit,notional,pnl_gross,fees,pnl_net,R_usdt,pnl_R
2025-09-04,1000LUNCUSDT,5,LONG,STOP,STOP,2025-09-04 18:40 -03,2025-09-04 19:20 -03,0.05834,0.05826,660.05,-1.0369237844813433,0.79206,-1.8289837844813432,1.2000600531367818,-1.5240768824032154
2025-09-04,AGIUSDT,15,LONG,STOP,STOP,2025-09-04 18:30 -03,2025-09-04 19:12 -03,0.04228,0.04184,121.89,-1.2926081724845353,0.146268,-1.4388761724845354,1.2000168519394512,-1.19904663851932
2025-09-04,BCHUSDT,5,LONG,STOP,STOP,2025-09-04 18:40 -03,2025-09-04 18:52 -03,590.6,589.2,595.92,-1.531500493025502,0.7151039999999999,-2.246604493025502,1.1999985443670054,-1.8721726818515243
2025-09-04,COSUSDT,5,LONG,CLOSED_TP3,TP3,2025-09-04 18:40 -03,2025-09-04 19:58 -03,0.00322,0.003241,775.9,2.8353659044032593,0.9310799999999999,1.9042859044032594,1.1999944099378677,1.5869123127847387
2025-09-04,IPUSDT,5,LONG,STOP,STOP,2025-09-04 18:45 -03,2025-09-04 19:01 -03,7.9483,7.9053,203.04,-1.1388229336798397,0.243648,-1.3824709336798398,1.200026098863919,-1.1520340557498239
2025-09-04,ONGUSDT,15,LONG,STOP,BE,2025-09-04 18:30 -03,2025-09-04 20:48 -03,0.1624,0.1624,180.98,0.41104114721532886,0.21717599999999995,0.1938651472153289,1.1999843238916499,0.1615563998257977
2025-09-04,SENDUSDT,5,LONG,CLOSED_TP3,TP3,2025-09-04 18:45 -03,2025-09-04 19:58 -03,0.528,0.5318,410.67,2.2982777176828075,0.4928040000000001,1.8054737176828075,1.2000119624999408,1.5045464329551603
2025-09-05,SENDUSDT,15,LONG,CLOSED_TP3,TP3,2025-09-04 18:30 -03,2025-09-05 01:52 -03,0.5264,0.5363,190.8,2.5044924990783475,0.22896,2.2755324990783476,1.2000065881459148,1.8962666718306835
2025-09-04,SKYAIUSDT,5,LONG,STOP,STOP,2025-09-04 18:45 -03,2025-09-04 19:09 -03,0.04415,0.04396,207.33,-0.9335303078978632,0.24879600000000002,-1.1823263078978632,1.2000251007927452,-0.9852513144240149
2025-09-05,SPECUSDT,5,LONG,CLOSED_TP3,TP3,2025-09-04 18:50 -03,2025-09-05 02:45 -03,0.4352,0.4416,205.66,2.411008983660461,0.246792,2.164216983660461,1.1999778984375131,1.8035473707294776
2025-09-04,TOKENUSDT,15,LONG,STOP,STOP,2025-09-04 18:30 -03,2025-09-04 21:06 -03,0.01225,0.01213,93.33,-0.9327343624821248,0.111996,-1.044730362482125,1.1999571428571403,-0.8706397296778325
2025-09-04,WALUSDT,5,LONG,STOP,BE,2025-09-04 18:50 -03,2025-09-04 19:12 -03,0.4103,0.4103,600.7,0.38278155106742,0.72084,-0.33805844893258,1.1999945113331862,-0.281716662651231
2025-09-04,BABYUSDT,15,LONG,STOP,STOP,2025-09-04 18:45 -03,2025-09-04 20:52 -03,0.04463,0.04428,50.0,-0.4020335138791745,0.06,-0.4620335138791745,0.552755993726189,-0.8358724629371375
2025-09-04,DEGENUSDT,5,LONG,STOP,STOP,2025-09-04 18:55 -03,2025-09-04 19:15 -03,0.003068,0.003059,50.0,-0.15664502650125786,0.06,-0.21664502650125786,0.1989895697522802,-1.0887255385845436
